studyId	pubmedId	isHarmonisedByOt
GCST90469677	39789286	TRUE
GCST90469678	39789286	TRUE
GCST90469679	39789286	TRUE
GCST90469680	39789286	TRUE
GCST90469682	39789286	TRUE
GCST90469683	39789286	TRUE
GCST90469684	39789286	TRUE
GCST90469685	39789286	TRUE
GCST90469686	39789286	TRUE
GCST90469687	39789286	TRUE
GCST90469688	39789286	TRUE
GCST90469689	39789286	TRUE
GCST90469690	39789286	TRUE
GCST90469691	39789286	TRUE
GCST90469693	39789286	TRUE
GCST90469746	39789286	TRUE
GCST90469748	39789286	TRUE
GCST90469749	39789286	TRUE
GCST90469750	39789286	TRUE
GCST90469751	39789286	TRUE
GCST90469753	39789286	TRUE
GCST90469754	39789286	TRUE
GCST90469756	39789286	TRUE
GCST90469758	39789286	TRUE
GCST90469759	39789286	TRUE
GCST90469760	39789286	TRUE
GCST90469761	39789286	TRUE
GCST90469762	39789286	TRUE
GCST90469763	39789286	TRUE
GCST90469766	39789286	TRUE
GCST90469768	39789286	TRUE
GCST90469769	39789286	TRUE
GCST90469697	39789286	TRUE
GCST90469700	39789286	TRUE
GCST90469701	39789286	TRUE
GCST90469702	39789286	TRUE
GCST90469703	39789286	TRUE
GCST90469704	39789286	TRUE
GCST90469705	39789286	TRUE
GCST90469706	39789286	TRUE
GCST90469707	39789286	TRUE
GCST90469708	39789286	TRUE
GCST90469709	39789286	TRUE
GCST90469710	39789286	TRUE
GCST90469712	39789286	TRUE
GCST90469713	39789286	TRUE
GCST90469714	39789286	TRUE
GCST90469715	39789286	TRUE
GCST90469716	39789286	TRUE
GCST90469719	39789286	TRUE
GCST90469545	39789286	TRUE
GCST90469546	39789286	TRUE
GCST90469548	39789286	TRUE
GCST90469549	39789286	TRUE
GCST90469551	39789286	TRUE
GCST90469552	39789286	TRUE
GCST90469553	39789286	TRUE
GCST90469554	39789286	TRUE
GCST90469555	39789286	TRUE
GCST90469556	39789286	TRUE
GCST90469557	39789286	TRUE
GCST90469559	39789286	TRUE
GCST90469561	39789286	TRUE
GCST90469562	39789286	TRUE
GCST90469563	39789286	TRUE
GCST90469565	39789286	TRUE
GCST90469567	39789286	TRUE
GCST90469568	39789286	TRUE
GCST90469721	39789286	TRUE
GCST90469722	39789286	TRUE
GCST90469723	39789286	TRUE
GCST90469724	39789286	TRUE
GCST90469725	39789286	TRUE
GCST90469726	39789286	TRUE
GCST90469727	39789286	TRUE
GCST90469728	39789286	TRUE
GCST90469729	39789286	TRUE
GCST90469730	39789286	TRUE
GCST90469731	39789286	TRUE
GCST90469733	39789286	TRUE
GCST90469734	39789286	TRUE
GCST90469735	39789286	TRUE
GCST90469740	39789286	TRUE
GCST90469741	39789286	TRUE
GCST90469742	39789286	TRUE
GCST90469744	39789286	TRUE
GCST90469595	39789286	TRUE
GCST90469596	39789286	TRUE
GCST90469597	39789286	TRUE
GCST90469598	39789286	TRUE
GCST90469599	39789286	TRUE
GCST90469602	39789286	TRUE
GCST90469603	39789286	TRUE
GCST90469606	39789286	TRUE
GCST90469607	39789286	TRUE
GCST90469608	39789286	TRUE
GCST90469612	39789286	TRUE
GCST90469614	39789286	TRUE
GCST90469619	39789286	TRUE
GCST90469645	39789286	TRUE
GCST90469646	39789286	TRUE
GCST90469647	39789286	TRUE
GCST90469652	39789286	TRUE
GCST90469653	39789286	TRUE
GCST90469654	39789286	TRUE
GCST90469655	39789286	TRUE
GCST90469657	39789286	TRUE
GCST90469661	39789286	TRUE
GCST90469662	39789286	TRUE
GCST90469664	39789286	TRUE
GCST90469665	39789286	TRUE
GCST90469666	39789286	TRUE
GCST90469667	39789286	TRUE
GCST90469669	39789286	TRUE
GCST90469570	39789286	TRUE
GCST90469571	39789286	TRUE
GCST90469572	39789286	TRUE
GCST90469574	39789286	TRUE
GCST90469575	39789286	TRUE
GCST90469576	39789286	TRUE
GCST90469577	39789286	TRUE
GCST90469578	39789286	TRUE
GCST90469579	39789286	TRUE
GCST90469580	39789286	TRUE
GCST90469582	39789286	TRUE
GCST90469583	39789286	TRUE
GCST90469584	39789286	TRUE
GCST90469586	39789286	TRUE
GCST90469587	39789286	TRUE
GCST90469588	39789286	TRUE
GCST90469591	39789286	TRUE
GCST90469592	39789286	TRUE
GCST90469593	39789286	TRUE
GCST90469594	39789286	TRUE
GCST90469622	39789286	TRUE
GCST90469623	39789286	TRUE
GCST90469624	39789286	TRUE
GCST90469626	39789286	TRUE
GCST90469627	39789286	TRUE
GCST90469629	39789286	TRUE
GCST90469630	39789286	TRUE
GCST90469631	39789286	TRUE
GCST90469632	39789286	TRUE
GCST90469634	39789286	TRUE
GCST90469635	39789286	TRUE
GCST90469636	39789286	TRUE
GCST90469637	39789286	TRUE
GCST90469640	39789286	TRUE
GCST90469641	39789286	TRUE
GCST90469643	39789286	TRUE
GCST90468119	39789286	TRUE
GCST90468120	39789286	TRUE
GCST90468122	39789286	TRUE
GCST90468123	39789286	TRUE
GCST90468124	39789286	TRUE
GCST90468125	39789286	TRUE
GCST90468127	39789286	TRUE
GCST90468128	39789286	TRUE
GCST90468130	39789286	TRUE
GCST90468131	39789286	TRUE
GCST90468135	39789286	TRUE
GCST90468136	39789286	TRUE
GCST90468137	39789286	TRUE
GCST90468138	39789286	TRUE
GCST90468140	39789286	TRUE
GCST90468143	39789286	TRUE
GCST90468907	39789286	TRUE
GCST90468908	39789286	TRUE
GCST90468909	39789286	TRUE
GCST90468910	39789286	TRUE
GCST90468911	39789286	TRUE
GCST90468913	39789286	TRUE
GCST90468917	39789286	TRUE
GCST90468918	39789286	TRUE
GCST90468920	39789286	TRUE
GCST90468921	39789286	TRUE
GCST90468922	39789286	TRUE
GCST90468923	39789286	TRUE
GCST90468924	39789286	TRUE
GCST90468927	39789286	TRUE
GCST90468929	39789286	TRUE
GCST90468930	39789286	TRUE
GCST90468931	39789286	TRUE
GCST90469058	39789286	TRUE
GCST90469059	39789286	TRUE
GCST90469061	39789286	TRUE
GCST90469062	39789286	TRUE
GCST90469063	39789286	TRUE
GCST90469064	39789286	TRUE
GCST90469065	39789286	TRUE
GCST90469067	39789286	TRUE
GCST90469068	39789286	TRUE
GCST90469070	39789286	TRUE
GCST90469071	39789286	TRUE
GCST90469072	39789286	TRUE
GCST90469073	39789286	TRUE
GCST90469074	39789286	TRUE
GCST90469075	39789286	TRUE
GCST90469076	39789286	TRUE
GCST90469077	39789286	TRUE
GCST90469078	39789286	TRUE
GCST90469079	39789286	TRUE
GCST90469080	39789286	TRUE
GCST90469032	39789286	TRUE
GCST90469033	39789286	TRUE
GCST90469034	39789286	TRUE
GCST90469036	39789286	TRUE
GCST90469037	39789286	TRUE
GCST90469038	39789286	TRUE
GCST90469039	39789286	TRUE
GCST90469040	39789286	TRUE
GCST90469045	39789286	TRUE
GCST90469046	39789286	TRUE
GCST90469048	39789286	TRUE
GCST90469049	39789286	TRUE
GCST90469050	39789286	TRUE
GCST90469051	39789286	TRUE
GCST90469052	39789286	TRUE
GCST90469053	39789286	TRUE
GCST90469054	39789286	TRUE
GCST90469055	39789286	TRUE
GCST90469056	39789286	TRUE
GCST90468982	39789286	TRUE
GCST90468985	39789286	TRUE
GCST90468988	39789286	TRUE
GCST90468989	39789286	TRUE
GCST90468992	39789286	TRUE
GCST90468993	39789286	TRUE
GCST90468994	39789286	TRUE
GCST90468995	39789286	TRUE
GCST90468996	39789286	TRUE
GCST90468999	39789286	TRUE
GCST90469001	39789286	TRUE
GCST90469002	39789286	TRUE
GCST90469003	39789286	TRUE
GCST90469005	39789286	TRUE
GCST90469008	39789286	TRUE
GCST90469011	39789286	TRUE
GCST90469014	39789286	TRUE
GCST90469015	39789286	TRUE
GCST90469016	39789286	TRUE
GCST90469017	39789286	TRUE
GCST90469018	39789286	TRUE
GCST90469019	39789286	TRUE
GCST90469022	39789286	TRUE
GCST90469023	39789286	TRUE
GCST90469024	39789286	TRUE
GCST90469025	39789286	TRUE
GCST90469026	39789286	TRUE
GCST90469029	39789286	TRUE
GCST90469031	39789286	TRUE
GCST90469082	39789286	TRUE
GCST90469083	39789286	TRUE
GCST90469084	39789286	TRUE
GCST90469086	39789286	TRUE
GCST90469087	39789286	TRUE
GCST90469088	39789286	TRUE
GCST90469089	39789286	TRUE
GCST90469090	39789286	TRUE
GCST90469091	39789286	TRUE
GCST90469093	39789286	TRUE
GCST90469095	39789286	TRUE
GCST90469097	39789286	TRUE
GCST90469098	39789286	TRUE
GCST90469100	39789286	TRUE
GCST90469101	39789286	TRUE
GCST90469102	39789286	TRUE
GCST90469104	39789286	TRUE
GCST90469105	39789286	TRUE
GCST90469106	39789286	TRUE
GCST90469345	39789286	TRUE
GCST90469346	39789286	TRUE
GCST90469347	39789286	TRUE
GCST90469349	39789286	TRUE
GCST90469350	39789286	TRUE
GCST90469353	39789286	TRUE
GCST90469354	39789286	TRUE
GCST90469355	39789286	TRUE
GCST90469356	39789286	TRUE
GCST90469357	39789286	TRUE
GCST90469358	39789286	TRUE
GCST90469359	39789286	TRUE
GCST90469360	39789286	TRUE
GCST90469361	39789286	TRUE
GCST90469362	39789286	TRUE
GCST90469364	39789286	TRUE
GCST90469366	39789286	TRUE
GCST90469367	39789286	TRUE
GCST90469368	39789286	TRUE
GCST90469369	39789286	TRUE
GCST90469495	39789286	TRUE
GCST90469497	39789286	TRUE
GCST90469498	39789286	TRUE
GCST90469499	39789286	TRUE
GCST90469504	39789286	TRUE
GCST90469505	39789286	TRUE
GCST90469506	39789286	TRUE
GCST90469507	39789286	TRUE
GCST90469508	39789286	TRUE
GCST90469511	39789286	TRUE
GCST90469512	39789286	TRUE
GCST90469513	39789286	TRUE
GCST90469514	39789286	TRUE
GCST90469515	39789286	TRUE
GCST90469516	39789286	TRUE
GCST90469517	39789286	TRUE
GCST90469518	39789286	TRUE
GCST90469519	39789286	TRUE
GCST90469420	39789286	TRUE
GCST90469421	39789286	TRUE
GCST90469422	39789286	TRUE
GCST90469423	39789286	TRUE
GCST90469426	39789286	TRUE
GCST90469427	39789286	TRUE
GCST90469430	39789286	TRUE
GCST90469432	39789286	TRUE
GCST90469434	39789286	TRUE
GCST90469435	39789286	TRUE
GCST90469436	39789286	TRUE
GCST90469437	39789286	TRUE
GCST90469438	39789286	TRUE
GCST90469439	39789286	TRUE
GCST90469440	39789286	TRUE
GCST90469443	39789286	TRUE
GCST90469372	39789286	TRUE
GCST90469373	39789286	TRUE
GCST90469374	39789286	TRUE
GCST90469376	39789286	TRUE
GCST90469377	39789286	TRUE
GCST90469378	39789286	TRUE
GCST90469379	39789286	TRUE
GCST90469380	39789286	TRUE
GCST90469384	39789286	TRUE
GCST90469385	39789286	TRUE
GCST90469387	39789286	TRUE
GCST90469390	39789286	TRUE
GCST90469391	39789286	TRUE
GCST90469393	39789286	TRUE
GCST90469394	39789286	TRUE
GCST90469445	39789286	TRUE
GCST90469446	39789286	TRUE
GCST90469447	39789286	TRUE
GCST90469448	39789286	TRUE
GCST90469449	39789286	TRUE
GCST90469451	39789286	TRUE
GCST90469453	39789286	TRUE
GCST90469455	39789286	TRUE
GCST90469456	39789286	TRUE
GCST90469457	39789286	TRUE
GCST90469458	39789286	TRUE
GCST90469459	39789286	TRUE
GCST90469460	39789286	TRUE
GCST90469461	39789286	TRUE
GCST90469462	39789286	TRUE
GCST90469463	39789286	TRUE
GCST90469464	39789286	TRUE
GCST90469465	39789286	TRUE
GCST90469466	39789286	TRUE
GCST90469468	39789286	TRUE
GCST90469469	39789286	TRUE
GCST90469295	39789286	TRUE
GCST90469297	39789286	TRUE
GCST90469298	39789286	TRUE
GCST90469299	39789286	TRUE
GCST90469300	39789286	TRUE
GCST90469301	39789286	TRUE
GCST90469305	39789286	TRUE
GCST90469307	39789286	TRUE
GCST90469310	39789286	TRUE
GCST90469311	39789286	TRUE
GCST90469312	39789286	TRUE
GCST90469314	39789286	TRUE
GCST90469315	39789286	TRUE
GCST90469316	39789286	TRUE
GCST90469318	39789286	TRUE
GCST90469319	39789286	TRUE
GCST90469470	39789286	TRUE
GCST90469472	39789286	TRUE
GCST90469473	39789286	TRUE
GCST90469474	39789286	TRUE
GCST90469475	39789286	TRUE
GCST90469476	39789286	TRUE
GCST90469477	39789286	TRUE
GCST90469478	39789286	TRUE
GCST90469479	39789286	TRUE
GCST90469480	39789286	TRUE
GCST90469481	39789286	TRUE
GCST90469482	39789286	TRUE
GCST90469483	39789286	TRUE
GCST90469484	39789286	TRUE
GCST90469486	39789286	TRUE
GCST90469487	39789286	TRUE
GCST90469488	39789286	TRUE
GCST90469489	39789286	TRUE
GCST90469490	39789286	TRUE
GCST90469491	39789286	TRUE
GCST90469492	39789286	TRUE
GCST90469493	39789286	TRUE
GCST90469494	39789286	TRUE
GCST90469395	39789286	TRUE
GCST90469396	39789286	TRUE
GCST90469397	39789286	TRUE
GCST90469399	39789286	TRUE
GCST90469400	39789286	TRUE
GCST90469403	39789286	TRUE
GCST90469404	39789286	TRUE
GCST90469405	39789286	TRUE
GCST90469406	39789286	TRUE
GCST90469407	39789286	TRUE
GCST90469408	39789286	TRUE
GCST90469409	39789286	TRUE
GCST90469410	39789286	TRUE
GCST90469411	39789286	TRUE
GCST90469413	39789286	TRUE
GCST90469416	39789286	TRUE
GCST90469417	39789286	TRUE
GCST90469418	39789286	TRUE
GCST90469419	39789286	TRUE
GCST90469520	39789286	TRUE
GCST90469521	39789286	TRUE
GCST90469522	39789286	TRUE
GCST90469523	39789286	TRUE
GCST90469525	39789286	TRUE
GCST90469526	39789286	TRUE
GCST90469527	39789286	TRUE
GCST90469529	39789286	TRUE
GCST90469531	39789286	TRUE
GCST90469532	39789286	TRUE
GCST90469533	39789286	TRUE
GCST90469534	39789286	TRUE
GCST90469536	39789286	TRUE
GCST90469540	39789286	TRUE
GCST90469541	39789286	TRUE
GCST90469542	39789286	TRUE
GCST90469543	39789286	TRUE
GCST90469544	39789286	TRUE
GCST90468857	39789286	TRUE
GCST90468859	39789286	TRUE
GCST90468860	39789286	TRUE
GCST90468861	39789286	TRUE
GCST90468862	39789286	TRUE
GCST90468863	39789286	TRUE
GCST90468864	39789286	TRUE
GCST90468865	39789286	TRUE
GCST90468867	39789286	TRUE
GCST90468868	39789286	TRUE
GCST90468869	39789286	TRUE
GCST90468870	39789286	TRUE
GCST90468871	39789286	TRUE
GCST90468872	39789286	TRUE
GCST90468873	39789286	TRUE
GCST90468874	39789286	TRUE
GCST90468877	39789286	TRUE
GCST90468879	39789286	TRUE
GCST90468880	39789286	TRUE
GCST90468881	39789286	TRUE
GCST90468833	39789286	TRUE
GCST90468834	39789286	TRUE
GCST90468835	39789286	TRUE
GCST90468836	39789286	TRUE
GCST90468837	39789286	TRUE
GCST90468838	39789286	TRUE
GCST90468840	39789286	TRUE
GCST90468842	39789286	TRUE
GCST90468843	39789286	TRUE
GCST90468845	39789286	TRUE
GCST90468847	39789286	TRUE
GCST90468848	39789286	TRUE
GCST90468849	39789286	TRUE
GCST90468850	39789286	TRUE
GCST90468851	39789286	TRUE
GCST90468852	39789286	TRUE
GCST90468853	39789286	TRUE
GCST90468854	39789286	TRUE
GCST90468855	39789286	TRUE
GCST90468856	39789286	TRUE
GCST90468757	39789286	TRUE
GCST90468758	39789286	TRUE
GCST90468759	39789286	TRUE
GCST90468760	39789286	TRUE
GCST90468761	39789286	TRUE
GCST90468764	39789286	TRUE
GCST90468765	39789286	TRUE
GCST90468766	39789286	TRUE
GCST90468767	39789286	TRUE
GCST90468768	39789286	TRUE
GCST90468769	39789286	TRUE
GCST90468770	39789286	TRUE
GCST90468772	39789286	TRUE
GCST90468774	39789286	TRUE
GCST90468775	39789286	TRUE
GCST90468776	39789286	TRUE
GCST90468777	39789286	TRUE
GCST90468778	39789286	TRUE
GCST90468779	39789286	TRUE
GCST90468780	39789286	TRUE
GCST90468781	39789286	TRUE
GCST90468882	39789286	TRUE
GCST90468883	39789286	TRUE
GCST90468885	39789286	TRUE
GCST90468886	39789286	TRUE
GCST90468887	39789286	TRUE
GCST90468888	39789286	TRUE
GCST90468889	39789286	TRUE
GCST90468893	39789286	TRUE
GCST90468894	39789286	TRUE
GCST90468895	39789286	TRUE
GCST90468896	39789286	TRUE
GCST90468897	39789286	TRUE
GCST90468899	39789286	TRUE
GCST90468901	39789286	TRUE
GCST90468902	39789286	TRUE
GCST90468905	39789286	TRUE
GCST90468782	39789286	TRUE
GCST90468783	39789286	TRUE
GCST90468784	39789286	TRUE
GCST90468785	39789286	TRUE
GCST90468786	39789286	TRUE
GCST90468787	39789286	TRUE
GCST90468788	39789286	TRUE
GCST90468789	39789286	TRUE
GCST90468790	39789286	TRUE
GCST90468792	39789286	TRUE
GCST90468793	39789286	TRUE
GCST90468794	39789286	TRUE
GCST90468795	39789286	TRUE
GCST90468796	39789286	TRUE
GCST90468798	39789286	TRUE
GCST90468800	39789286	TRUE
GCST90468802	39789286	TRUE
GCST90468803	39789286	TRUE
GCST90468805	39789286	TRUE
GCST90468807	39789286	TRUE
GCST90468808	39789286	TRUE
GCST90468809	39789286	TRUE
GCST90468811	39789286	TRUE
GCST90468812	39789286	TRUE
GCST90468814	39789286	TRUE
GCST90468815	39789286	TRUE
GCST90468816	39789286	TRUE
GCST90468817	39789286	TRUE
GCST90468819	39789286	TRUE
GCST90468820	39789286	TRUE
GCST90468821	39789286	TRUE
GCST90468822	39789286	TRUE
GCST90468823	39789286	TRUE
GCST90468824	39789286	TRUE
GCST90468825	39789286	TRUE
GCST90468826	39789286	TRUE
GCST90468827	39789286	TRUE
GCST90468828	39789286	TRUE
GCST90468829	39789286	TRUE
GCST90468831	39789286	TRUE
GCST90468933	39789286	TRUE
GCST90468934	39789286	TRUE
GCST90468935	39789286	TRUE
GCST90468936	39789286	TRUE
GCST90468937	39789286	TRUE
GCST90468938	39789286	TRUE
GCST90468939	39789286	TRUE
GCST90468940	39789286	TRUE
GCST90468941	39789286	TRUE
GCST90468942	39789286	TRUE
GCST90468945	39789286	TRUE
GCST90468947	39789286	TRUE
GCST90468948	39789286	TRUE
GCST90468949	39789286	TRUE
GCST90468950	39789286	TRUE
GCST90468951	39789286	TRUE
GCST90468952	39789286	TRUE
GCST90468955	39789286	TRUE
GCST90468707	39789286	TRUE
GCST90468708	39789286	TRUE
GCST90468709	39789286	TRUE
GCST90468710	39789286	TRUE
GCST90468711	39789286	TRUE
GCST90468712	39789286	TRUE
GCST90468713	39789286	TRUE
GCST90468714	39789286	TRUE
GCST90468715	39789286	TRUE
GCST90468716	39789286	TRUE
GCST90468717	39789286	TRUE
GCST90468719	39789286	TRUE
GCST90468721	39789286	TRUE
GCST90468722	39789286	TRUE
GCST90468723	39789286	TRUE
GCST90468724	39789286	TRUE
GCST90468725	39789286	TRUE
GCST90468726	39789286	TRUE
GCST90468727	39789286	TRUE
GCST90468728	39789286	TRUE
GCST90468729	39789286	TRUE
GCST90468731	39789286	TRUE
GCST90468957	39789286	TRUE
GCST90468958	39789286	TRUE
GCST90468959	39789286	TRUE
GCST90468960	39789286	TRUE
GCST90468961	39789286	TRUE
GCST90468962	39789286	TRUE
GCST90468963	39789286	TRUE
GCST90468964	39789286	TRUE
GCST90468965	39789286	TRUE
GCST90468970	39789286	TRUE
GCST90468973	39789286	TRUE
GCST90468974	39789286	TRUE
GCST90468975	39789286	TRUE
GCST90468977	39789286	TRUE
GCST90468979	39789286	TRUE
GCST90468980	39789286	TRUE
GCST90468594	39789286	TRUE
GCST90468596	39789286	TRUE
GCST90468599	39789286	TRUE
GCST90468600	39789286	TRUE
GCST90468601	39789286	TRUE
GCST90468602	39789286	TRUE
GCST90468603	39789286	TRUE
GCST90468604	39789286	TRUE
GCST90468605	39789286	TRUE
GCST90468607	39789286	TRUE
GCST90468609	39789286	TRUE
GCST90468610	39789286	TRUE
GCST90468611	39789286	TRUE
GCST90468612	39789286	TRUE
GCST90468614	39789286	TRUE
GCST90468615	39789286	TRUE
GCST90468616	39789286	TRUE
GCST90468617	39789286	TRUE
GCST90468619	39789286	TRUE
GCST90468621	39789286	TRUE
GCST90468622	39789286	TRUE
GCST90468623	39789286	TRUE
GCST90468625	39789286	TRUE
GCST90468627	39789286	TRUE
GCST90468628	39789286	TRUE
GCST90468629	39789286	TRUE
GCST90468630	39789286	TRUE
GCST90468631	39789286	TRUE
GCST90468633	39789286	TRUE
GCST90468636	39789286	TRUE
GCST90468637	39789286	TRUE
GCST90468638	39789286	TRUE
GCST90468639	39789286	TRUE
GCST90468640	39789286	TRUE
GCST90468641	39789286	TRUE
GCST90468642	39789286	TRUE
GCST90468643	39789286	TRUE
GCST90468569	39789286	TRUE
GCST90468570	39789286	TRUE
GCST90468571	39789286	TRUE
GCST90468572	39789286	TRUE
GCST90468573	39789286	TRUE
GCST90468574	39789286	TRUE
GCST90468575	39789286	TRUE
GCST90468577	39789286	TRUE
GCST90468578	39789286	TRUE
GCST90468579	39789286	TRUE
GCST90468581	39789286	TRUE
GCST90468582	39789286	TRUE
GCST90468585	39789286	TRUE
GCST90468586	39789286	TRUE
GCST90468587	39789286	TRUE
GCST90468588	39789286	TRUE
GCST90468590	39789286	TRUE
GCST90468592	39789286	TRUE
GCST90470885	39789286	TRUE
GCST90470886	39789286	TRUE
GCST90470889	39789286	TRUE
GCST90470892	39789286	TRUE
GCST90470894	39789286	TRUE
GCST90470895	39789286	TRUE
GCST90470896	39789286	TRUE
GCST90470897	39789286	TRUE
GCST90470898	39789286	TRUE
GCST90470899	39789286	TRUE
